price,Sales,Discount,Profit
2.78,18.37,0.01,-4.06
155.99,6175.777,0.07,1881.58
22.84,157.97,0.01,-42.38
5.78,144.84,0.09,-120.99
6.7,127.16,0.09,12.88
1360.14,5472.12,0.06,-2816.34
270.98,1810.67,0.09,-541.87
20.97,633.56,0.09,-158.87
22.84,644.4,0.04,-97.28
180.98,1211.98,0.1,-80.83
130.98,3316.08,0.08,-514.32
4.28,207.08,0.09,-131.82
28.28,234.28,0.09,-65.42
55.99,1779.8915,0.09,-250.17
3.8,114.12,0.05,15.73
30.73,436.05,0.09,-92.58
125.99,5247.4835,0,1465.87
20.99,173.417,0,18.23
1270.99,23792.93,0,10951.31
11.97,256.12,0.03,-18.19
12.28,387,0.01,-31.45
39.24,1143.45,0.06,304.42
17.98,42.31,0.06,-53.08
12.95,152.67,0.04,12.76
1.68,82.61,0.08,-46.25
25.98,789.94,0.1,-190.41
10.31,435.24,0.08,174.89
59.78,473.7,0.05,72.51
20.99,553.5625,0.08,-76.86
1.68,54.78,0.02,-30.54
7.08,304.83,0.1,23.82
574.74,16066.85,0.07,7416.43
36.55,618.9,0.09,54.92
55.99,1665.0395,0.02,366.51
51.75,1049.79,0.08,135.79
55.29,817.18,0.1,103.38
9.65,465.83,0.1,-79.72
20.99,241.706,0,-92.96
7.99,275.91,0.1,-162.37
7.64,30.83,0.04,7.27
8.85,121.66,0.03,-11.8
6.48,108.42,0.02,-50.82
2.88,78.47,0.06,17.99
880.98,26133.39,0.04,-11053.6
200.97,2671.21,0.06,636.18
20.89,531.66,0.08,135.65
11.58,317.85,0.06,-13.95
4.13,163.08,0.09,66.17
2.78,103.07,0.1,-0.95
14.48,17.19,0,-35.34
99.99,2689.48,0.04,399.93
4.98,15.31,0.01,-8.15
21.98,270.63,0.1,7.07
195.99,6583.913,0.09,1459.79
200.97,4865.72,0.03,1951.3
40.97,1003.31,0.01,51.9
349.45,6048.18,0.04,1418.36
80.97,3051.27,0.1,121.48
216.6,9633.59,0.06,176.67
140.81,3758.77,0,753.61
22.72,143.78,0.04,75.3
19.98,440.92,0.05,-65.18
1500.97,4343.51,0.09,-3755.03
20.95,593.32,0.03,28.99
23.99,626.07,0.03,185.32
24.92,557.23,0.09,-42.99
39.48,261.88,0.08,-59.2
38.76,593.73,0.04,108.01
2.47,120.77,0.03,19.86
33.94,795.74,0,-127.39
8.33,251.75,0.07,22.46
18.97,697.41,0.04,81.71
150.98,4684.9,0.01,-549.27
140.81,905.94,0.04,-4.19
22.84,270.23,0.08,52.02
34.76,660.27,0.09,63.83
2.88,32.4,0.05,8.78
205.99,4688.9485,0,1215.44
5.4,50.7,0.08,-44.07
8.46,90.06,0.09,-100.51
14.98,338.52,0.21,-17.75
155.99,6109.817,0.04,1374.95
25.38,34.11,0.02,-12.95
10.97,538.22,0.01,-154.66
99.99,1064.23,0.06,-127.56
193.17,3497.05,0,282.18
20.99,774.0525,0.08,-96.34
19.99,74.05,0.02,44.54
150.98,5753.85,0,2509.52
370.98,18235.47,0.03,1166.93
179.99,2631.107,0,297.11
6.74,209.42,0.1,65.41
10.89,324.4,0.1,-46.98
6.48,137.02,0.01,-46.89
223.98,232.67,0.02,-105.14
140.98,4805.92,0.07,-393.96
54.96,62.26,0.09,-23.24
1.26,58.53,0.07,-24.86
4.98,157.79,0.09,-95.92
18.99,376.21,0.03,89.56
46.89,1601.24,0.08,520.69
12.98,501.31,0.05,38.23
10.91,24.96,0.05,-12.8
4.98,166.76,0.01,-46.03
415.88,811.13,0.08,-517.47
65.99,822.8425,0.1,4.39
115.99,3310.9455,0.05,822.4
5.02,55.02,0.08,-56.12
19.84,192.58,0.05,24.6
6.75,291.67,0.01,54.46
5.74,281.39,0.1,-106.4
270.97,12593.91,0.09,2699.67
260.98,6123.94,0.01,1292.44
387.99,19325.2,0.05,8793.54
160.98,8380.22,0,813.83
3.08,35.17,0.03,5.58
499.99,17387.65,0.08,6907.61
138.14,6040.22,0.05,-942.5
41.94,691.59,0.03,261.24
7.31,345.2,0.01,183.53
65.99,1955.0765,0.06,470.83
7.64,217.93,0.03,-29.02
40.97,254.76,0.06,109.88
299.05,6806.66,0,801.72
291.73,891.61,0.1,-328.36
30.42,165.04,0.03,-112.44
415.88,789.01,0.07,-539.59
19.94,97.57,0.04,-27.31
3.68,110.32,0.09,-32.65
11.97,321.68,0.04,-12.25
29.74,971.95,0.09,-21.1
95.43,2149.03,0.03,-235.56
300.65,3671.3,0.04,900.06
45.19,1763.6,0.08,455.37
28.53,403.17,0.02,147.45
5.68,89.97,0.02,23.48
15.51,456.91,0.04,-328.18
5.81,249.02,0.1,-282.61
1.81,78.49,0.03,5.53
6.68,40.72,0.1,-10.25
3.93,113.3,0.02,37.33
150.98,1219.19,0.02,44.37
1.76,28.68,0,-0.12
177.98,3548.67,0.01,1280.19
20.24,178.78,0.02,-28.34
150.98,6045.98,0.08,-996.67
20.99,56.695,0.01,-70.97
65.99,1350.531,0.01,221.18
5.18,100.4,0.06,11.94
17.24,327.15,0.04,47.3
2.6,30.51,0.09,-17.68
14.97,127.8,0.07,-30.48
60.98,242.36,0.08,-131.48
29.74,802.19,0,56.26
12.21,63.52,0.08,-8.47
29.14,371.94,0.05,106.53
11.5,349.43,0.04,-44.92
15.7,58.33,0.02,-35.08
225.02,10377.22,0.05,965.48
9.27,140.66,0,11.34
6.84,42.89,0.02,-32.48
4.98,226.5,0.09,-173.15
32.98,438.93,0.04,-119.02
500.97,15251.5,0.06,5353.19
2.61,34.42,0.02,9.47
7.31,172.76,0.1,73.18
20.99,853.162,0.1,-83.95
5.34,35.65,0.02,-5.92
4.06,199.86,0.03,-257.11
99.99,1888.02,0.03,192.33
11.58,322.69,0.01,1.91
3.36,22.06,0.06,-22.28
699.99,12616.2,0.07,2808.22
4.71,148.17,0,-7.06
5.84,217.25,0.07,33.5
218.75,5993.74,0.07,-998.94
15.98,361.65,0.08,-144.27
22.38,1038.82,0.05,-78.36
12.95,564.39,0.09,51.82
155.99,826.9735,0.01,-413.33
35.99,999.226,0.02,381.17
99.99,2298.32,0.06,218.72
48.91,1168.15,0.04,-743.96
3.78,181.78,0.02,71.56
26.31,1184.32,0.09,-99.55
20.95,71.94,0.01,-70.68
55.98,550.61,0.08,98.32
80.98,1373.11,0.1,-599.54
12.21,368.18,0.07,-36.78
13.9,224.47,0.08,-49.31
55.5,104.85,0.07,-98.31
5.28,256,0.03,-119.84
296.18,6067.76,0.06,-98.05
92.23,2754.93,0.06,-1.33
1270.99,19417.55,0.03,8417.57
122.99,4842.21,0.03,-1975.26
18.99,615.58,0.04,168
218.08,8387.1,0.1,2113.95
20.24,126.02,0.09,66.97
2.18,68.14,0,6.37
4.98,71.47,0.06,-62.73
65.99,568.3355,0.02,-147.36
65.99,2157.3085,0,519.25
50.98,1363,0.04,149.83
124.49,4698.5,0.04,-219.38
22.38,347.47,0.09,-86.2
63.94,1404.22,0.1,202.87
4.13,17.52,0.05,-12.16
122.99,4273.8,0.06,-1775.83
7.1,192.18,0.02,-48.88
21.38,483.96,0.01,-34.09
35.99,308.363,0.04,42.27
85.99,1911.4035,0.06,822.89
30.73,862.2,0.1,-45.1
15.7,120.03,0.02,-56.06
11.5,18.92,0,-18.25
4.48,237.28,0.03,-2088.68
67.84,324.55,0.08,-12.82
276.2,8901.78,0.04,2795.36
85.99,1062.959,0.07,298.48
200.98,7468.86,0.02,2155.41
65.99,710.328,0.02,-10.3
896.99,3510.82,0.05,232.44
15.01,281.84,0.06,-21.85
20.97,509.52,0.05,-145.78
10.01,97.02,0.06,-3.96
6.68,225.16,0.02,-33.69
9.77,205.33,0,10.68
76.72,1368.14,0.05,171.26
59.98,2475.83,0.09,752.37
65.99,2205.7585,0.03,337.04
23.99,524.2,0.04,158.98
162.93,6553.45,0.03,2969.81
10.94,497.14,0.05,240.41
40.98,917.39,0.02,393.41
5.99,110.67,0.08,-43.75
65.99,1163.123,0,83.84
4.57,224.58,0.03,-144.76
10.67,365.77,0.07,155.69
442.14,16073.03,0.01,5386.32
1.74,30.68,0.02,-37.39
55.99,54.077,0.07,-232.99
33.98,899.97,0.09,-246.3
200.99,6789.9275,0.08,1864.66
135.99,748.29,0.02,-183.6
63.94,2522.21,0,1026.07
140.99,4181.82,0.01,1765.48
20.99,680.8585,0.05,319.1
39.24,759.84,0.06,162.83
7.64,147.39,0.08,-30.92
54.74,294,0,181.53
6.3,216.3,0.01,103.16
2.84,31.6,0.1,-3.64
3.58,154.18,0.08,-166.92
5.85,110.31,0.05,-1.22
3.29,137.51,0.02,21.62
10.98,302.2,0.04,20.27
8.45,399.58,0.04,-188.53
5.89,52.39,0.08,-17.38
4.91,61.09,0.04,24.06
15.94,777.76,0.02,63.46
22.84,108.87,0.05,-39.92
204.1,10051.52,0.05,4938.78
98.31,97.13,0.05,-37.06
60.98,1523.5,0.07,-807.89
145.45,756.15,0.06,-280.28
12.28,18.15,0.04,-7.26
107.53,1323.67,0.04,630.28
2.89,47.44,0.09,14.49
20.98,51.21,0,-27.53
100.8,2195.55,0.01,-355.94
120.98,3482.41,0.05,1443.35
16.98,683.46,0.09,-138.82
12.98,600.22,0.08,27.86
7.99,64.0305,0.06,-58.34
195.99,8551.544,0.03,2763.13
136.98,291.66,0.08,-192.92
125.99,503.3275,0.06,-488.31
115.99,171.71,0.06,-343.47
32.48,1326.04,0.02,-1129.96
182.55,3881.89,0.06,-803.52
2.88,17.89,0.04,10.51
2.94,137.18,0.07,6.04
12.28,617.26,0.04,-37.52
349.45,13104.992,0.03,5626.42
120.97,700.73,0.08,-188.58
21.98,667.55,0,204.74
15.99,701.46,0.04,-90.14
2.78,53.94,0.05,-6.53
6.47,46.94,0.02,7.34
3.93,77.99,0.03,19.68
136.98,5735.79,0.08,828.27
4.13,186.93,0.07,56.44
5.81,241.1,0.07,-243.24
9.65,491.93,0.04,-53.62
58.14,623.71,0.01,-213.32
110.99,4263.9315,0.04,1411.03
279.81,2700.41,0.08,258.01
78.65,1583.06,0.05,328
35.44,756.6,0,299.59
11.66,207.19,0.01,-85.91
10.48,88,0.06,-6.38
6.28,196.74,0.09,-61.59
22.98,471.24,0.07,115.54
300.98,368.66,0.01,-165.6
155.06,2232.06,0.03,542.16
55.94,387.17,0.1,-204.65
5.28,168.57,0.02,16.65
7.59,413.86,0,39.29
5.98,178.45,0.09,-104.96
2550.14,2728.65,0,-5572.39
55.48,735.54,0,171.82
28.99,1060.0605,0.1,-71.03
4.91,199.39,0.1,101.13
259.71,2770.35,0.09,-202.58
59.78,1882.12,0.05,584.15
4.13,186.94,0.05,85.81
30.98,407.2,0.01,-8.42
7.38,208.6,0,-56.45
26.38,778.38,0.01,257.32
2.16,60.36,0.03,-119.62
50.98,1936.3,0.03,278.12
2.08,14.23,0,-4.43
6.48,272.07,0.02,-206.46
64.98,325.43,0.09,-76.11
19.23,843.53,0.04,268.32
300.98,6641.14,0.05,673.77
500.98,10469.03,0.07,2608.72
45.19,835.55,0.04,171.59
11.97,215.93,0.08,-41.87
4.55,140.24,0.05,32.87
28.48,266.94,0.09,19.2
4.14,113.85,0.06,-93.93
12.53,83.81,0.09,21.92
5.85,218.81,0.03,7.45
280.98,9502.736,0.02,-945.56
177.98,5686.25,0.04,2109.21
50.98,797.24,0.04,11.46
48.04,963.3,0.06,367.12
2.61,94.56,0,37.73
15.99,712.04,0.07,-110.93
8.04,283.21,0.08,-196.06
2.23,45.8,0.04,-52.92
12.95,557.85,0.05,89.45
115.99,4261.94,0.02,4.15
65.99,2071.3395,0.06,324.93
15.98,222.91,0.05,20.21
140.85,1634.98,0.09,-120.45
4.28,204.11,0.06,28.71
56.96,1038.4,0.01,112.36
279.48,305.82,0.05,-232.24
165.98,7441.29,0.1,2665.4
3.08,55.45,0.01,21.42
128.24,4896.93,0.04,1467.82
10.98,433.68,0.07,44.1
29.89,717.29,0.01,191.29
40.48,1423.35,0.1,-580.32
35.99,932.892,0.05,458.98
180.98,5977.63,0.1,-86.68
150.98,906.02,0.1,-382.38
3.81,170.88,0.01,-149.09
11.5,434.62,0.08,-68.98
22.99,871.25,0.06,-14.31
11.66,537.87,0.05,-162.24
12.88,608.21,0.09,-175.13
15.28,285.84,0.02,-27.26
300.98,12450.48,0.01,3030.16
65.99,2083.0525,0.09,354.96
4.91,233.28,0.04,112.35
27.75,47.01,0.09,-19.32
110.98,3245.73,0.09,569.57
2.18,63.02,0.07,-119.66
699.99,6420.87,0.02,-690.21
110.99,2407.693,0.04,424.14
3.38,109.49,0.04,26.09
8.74,283.17,0,119.64
2.78,17,0.07,-4.61
4.14,67.41,0.04,-49.6
6.48,130.67,0.05,-77.18
3.28,77.62,0.01,-50.88
9.78,440.39,0.05,186.64
3.28,96.99,0.02,-66.35
12.95,590.43,0.09,82.59
24.92,216.33,0,-17.37
83.1,3152.75,0.04,1166.4
90.98,3609.88,0.07,-1396.22
6.48,188.05,0.04,-21.41
39.99,1681.6,0.07,167.37
300.98,5203.9,0.07,636.2
20.98,744.12,0.01,-1163.21
5.98,293.3,0.04,-193.48
5.28,50.93,0.06,-34.98
18.97,792.8,0.08,26.27
65.99,782.4505,0.06,-11.4
4.82,226.18,0.01,-115.54
125.99,1856.9695,0,176.87
5.78,241.19,0.08,-103.65
140.98,4177.52,0.04,-443.78
122.99,3351.08,0.05,-1086.43
5.43,159.11,0.07,64.01
28.48,1127.81,0.1,425.08
363.25,9293.82,0.08,2437.17
2.88,80.79,0,12.58
49.99,925.03,0.06,-3.68
19.99,566.12,0.03,-19.33
40.98,327.61,0.07,54.9
10.64,178.4,0.04,20.08
2.78,115.01,0.03,5.81
5.98,181.83,0.03,-43.36
23.99,952.47,0.03,270.69
65.99,171.9635,0.07,-296.37
499.99,2543.95,0.04,-1011.32
100.98,317.95,0.1,-144.43
51.65,435.29,0.03,122.41
28.53,937.04,0.08,391.6
99.99,1616.64,0.07,26.94
21.38,404.3,0.04,-27.34
348.21,11674.968,0.05,715.18
60.98,1482.81,0.03,-678.63
290.98,6693.28,0.02,40.32
30.98,309.3,0.05,-77.89
10.06,444.52,0.02,161.13
14.2,742.21,0.03,122.21
65.99,896.1805,0,82.04
5.98,120.56,0.07,-79.35
65.99,2640.6865,0.03,751.38
549.99,8662.34,0,-704.66
68.81,1689.97,0.06,-564.74
5.18,112.03,0.05,-57.99
420.98,2528.49,0.07,580.15
29.18,1146.11,0.09,330.63
6.68,102.5,0.1,13.84
225.04,7783.36,0.07,3506.24
2.84,61.76,0,4.34
31.76,1280.34,0,-1048.25
6.28,76.61,0.09,-31.83
39.48,1483.44,0.04,439.77
3.7,145.68,0.04,12
11.29,500.48,0.08,-48.2
195.99,8221.2935,0.06,2342.21
172.99,1158.26,0.06,170.08
30.98,298.52,0,73.19
19.98,667.35,0.04,80.92
125.99,3206.965,0.08,575.33
238.4,6654.39,0.1,1151.69
199.99,4429.69,0.03,983.55
5.68,239.35,0.05,78.96
19.98,684.66,0.07,35.09
90.97,2531.35,0.09,415.55
1.48,22.45,0.03,0.78
180.98,7765.13,0.06,433.63
60.22,2435.32,0.09,650.56
199.99,4242.76,0.07,340.88
12.22,14.4,0.1,-7.39
5.98,92.06,0.1,5.66
5.84,199.62,0.01,42.34
4.91,196.5,0.08,-99.76
3499.99,3672.89,0.01,-3061.82
5.84,46.97,0.03,-0.01
550.98,20333.816,0.02,-1430.45
45.19,1697.44,0.06,523.43
45.99,572.4325,0.05,-19.44
8.12,322.03,0.06,-82.83
51.65,2470.84,0.05,25.04
6.68,15.26,0.01,-7.51
175.99,5250.6625,0.1,930.99
499.99,10791.38,0.08,-234.79
22.23,26.68,0.04,-10.74
4.84,123.46,0.07,26.66
20.15,588.54,0.04,-30.72
6.48,284.38,0.04,-62.43
3.52,165.51,0.08,-269.91
67.28,2046.81,0.02,469.28
2.89,28.81,0.02,7.15
41.32,1445.6,0.08,126.03
8.95,119.03,0.06,29.62
13.79,34.88,0.09,-22.12
100.98,1272.83,0.04,250.47
6.48,165.36,0.09,-94.79
100.98,883.37,0.1,51.3
599.99,23255.61,0,-734.33
2.6,23.19,0.02,-13.27
20.98,639.19,0.09,274.9
3.48,62.45,0.08,-141.76
3.69,152.55,0.06,-20.27
4.28,152.96,0.09,-123.87
420.98,7608.88,0.06,3049.45
26.48,1270.03,0.1,221.81
5.68,101.34,0.06,26.11
15.01,393.59,0.06,-8.08
40.48,551.18,0.09,-326.97
12.28,18.73,0.05,-6.68
8.85,294.04,0.03,-5.53
110.98,2022.65,0.05,-157.63
104.85,2289.92,0.09,1037.55
50.98,1773.86,0.06,133.3
14.58,543.22,0,68.44
45.98,813.9,0.06,256.66
19.98,865.27,0.03,11.55
10.97,429.28,0.06,-168.95
10.98,341.71,0.04,32.19
14.27,648.26,0.07,30.48
9.49,410.43,0.1,-54.58
216.6,9750.55,0,1061.61
22.23,835.55,0.07,326.43
55.99,1799.6115,0.07,557.6
29.89,1441.57,0.07,475.26
8.34,173.09,0.03,-6.71
124.49,5016.25,0.01,-189.35
19.98,945.03,0,267.64
8.75,325.75,0.1,-124.25
5.85,136.42,0.09,-8.38
3.8,93.05,0.03,15.27
7.98,154.13,0.07,57.31
417.4,18824.42,0.07,-575.35
7.28,33.64,0.01,-22.45
5.53,176.15,0.01,-125.36
10.68,66.43,0.01,-9.45
110.98,2674.18,0.06,631.99
105.98,5513.82,0.03,1581.93
6.68,241.14,0.08,-120.08
46.89,365.22,0.04,58.08
125.99,3229.66,0.05,695.06
195.99,4010.9375,0,630.7
15.74,672.46,0.1,279.74
195.99,8223.07,0.06,2549.4
24.92,259.69,0.1,-45.82
270.97,2503.86,0.06,-172.48
12.28,374.67,0,30.63
442.14,5155.35,0,501.51
70.98,538.51,0,-88.75
210.55,3780.43,0.05,905.57
182.55,1961.68,0.04,-367
32.98,638.72,0.04,-130.88
40.98,1599.54,0,578.14
417.4,942.42,0.02,-634.87
35.99,1290.2065,0.06,-160.68
19.99,858.53,0.07,-97.54
6.68,245.4,0,-87.27
85.29,4177.66,0.04,85.29
4.13,63.33,0,-39.96
40.89,1436.55,0.1,-4.01
40.98,848.2,0.06,163.78
22.23,717.21,0,217.06
14.81,642.8,0.08,-253.11
95.95,3114.05,0.01,-1207.18
300.98,8161.93,0.06,1261.44
37.94,1314.65,0.06,536.87
161.55,4479.16,0.07,610.9
80.98,1072.22,0.03,149.64
13.99,342.85,0.06,-32.42
15.04,62.48,0.06,1.06
140.85,1966.26,0.06,-34.79
4.37,114.17,0.01,-80.05
4.98,197.11,0.03,-89.42
55.99,653.871,0.09,-311.05
65.99,2039.082,0.01,481.7
13.99,225.46,0.09,-33.03
20.34,783.96,0.05,-1195.29
155.99,4711.244,0.06,1380.32
48.91,1132.54,0,-628.38
100.89,1648.33,0.07,-210.14
3.69,50.35,0.05,-8.24
35.99,1494.232,0.04,479.95
30.98,1483.49,0.02,65.82
348.21,14729.36,0.07,3277.57
6.48,258.19,0.1,-103.27
280.98,4621.1,0.09,-635.65
9.99,460.2,0.01,-214.39
15.01,155.45,0.03,-19.68
6.84,343.26,0.04,-287.28
3.14,134.86,0.04,-62.84
99.23,3512.9,0.08,2093.7
85.99,281.5455,0.1,-434.56
226.67,5186.31,0.03,1009.38
30.98,983.78,0.04,43.72
8.01,410.15,0.01,102.58
4.98,135.72,0.09,-67.79
14.98,589.63,0.03,70.8
100.98,336.84,0.08,-160.46
14.34,397.17,0.1,7.69
83.1,2094.12,0,717.12
37.94,1714.02,0.04,741.27
6.48,223.59,0.04,-66.05
9.11,288.56,0.03,60.72
155.99,1892.848,0.01,48.99
193.17,6375.28,0.06,489.02
34.58,1000.78,0.05,109.33
15.7,543.72,0.05,-211.13
28.48,165.75,0.03,-28.46
205.99,2021.147,0.01,-60.39
9.27,42.58,0,-7.61
90.98,4577.18,0,205.83
20.98,845.9,0.04,52.53
39.48,1082.45,0.04,271.87
2.61,23.46,0.06,4.58
64.98,2154.34,0.1,177.66
40.98,1699.52,0.04,734.75
15.14,760.85,0.03,-109.1
131.12,1042.25,0.08,195.16
200.99,5010.7415,0.03,1196.37
499.99,19109.61,0.1,-379.29
17.78,409.08,0.1,78.86
70.71,3397.72,0.01,-912.08
376.13,449.42,0.07,-261.61
4.76,59.58,0.07,14.49
39.48,642.9,0.07,88.72
4.91,47.28,0,17.05
180.98,6900.13,0.01,552.97
150.98,1449.21,0.06,-270
4.77,162.25,0.05,-43.21
14.03,384.9,0.07,-108.28
5.4,84.09,0.02,-73.14
7.28,319.69,0,-73.66
2.88,139.86,0.07,9.59
195.99,926.585,0.1,-655.42
5.78,27.34,0.06,-12.38
28.48,683.68,0,-95.54
3.57,100.41,0.04,-69.91
200.99,8101.9875,0.05,2369.84
195.99,1313.811,0.07,-457.16
52.99,1350.34,0.1,-517.17
100.98,861.26,0.07,-429.86
85.99,1531.411,0.03,365.42
1.26,57.24,0.04,-14.1
4.98,247.21,0.02,-63.72
66.99,1541.781,0.07,14.35
6.54,19,0.01,-10.73
155.06,8289.51,0.01,3051.62
2.08,42.22,0.04,-7.73
160.98,653.44,0.06,-187.75
11.29,245.96,0.03,-33.82
29.89,1014.87,0.04,319.52
1.68,35.51,0.02,-13.95
28.28,1105.66,0.02,-136.2
3.89,78.93,0.04,-88.61
15.31,608.33,0.02,-70.04
7.59,155.8,0,27.22
5.98,226.65,0,46.41
2.08,10.96,0.02,-8.02
5.98,185.61,0.02,-47.12
45.99,1098.506,0.05,218.73
3.58,160.27,0.06,-183.36
100.98,4601.02,0.09,-129.53
5.78,89.89,0.1,-72.28
14.34,447.33,0.03,115.21
3.69,104.82,0.02,6.84
4.91,34.88,0.06,-18.34
12.44,224.09,0,-27.92
65.99,384.2,0.05,-164.46
297.64,6366.52,0.07,935.8
6.75,31.01,0.03,-4.49
7.1,331.83,0.05,-101.25
20.95,446.46,0.04,-1.88
39.06,1252.89,0.05,339.75
3.52,47.79,0.04,-57.75
15.51,63.84,0.02,-47.97
20.99,531.063,0.03,24.56
14.58,152.84,0.05,38.02
8.33,271.14,0.05,29.21
48.91,1150.3,0.1,418.19
6.48,305.96,0.06,-191.49
18.97,48.84,0.01,-21.2
5.98,223.74,0.01,39.63
10.4,26.82,0,26.21
27.48,631.99,0.08,-43.96
17.67,413.8,0.08,51.36
8.34,336.25,0,25.95
205.99,4001.4685,0.02,884.91
3.34,102.95,0.06,-175.86
6.48,65.81,0.01,-15.44
78.65,2564.45,0.01,650.73
6.48,53.55,0.07,-43.5
243.98,1244.19,0.08,-131.31
